date, pm25, pm10, o3, no2, so2, co
2024/11/1, 62, 21, 23, 33, 1, 4
2024/11/2, 53, 25, 39, 19, 1, 4
2024/11/3, 56, 42, 39, 35, 1, 5
2024/11/4, 84, 38, 34, 39, 2, 5
2024/11/5, 84, 44, 39, 40, 1, 5
2024/11/6, 99, 40, 29, 36, 2, 4
2024/11/7, 81, 36, 20, 55, 3, 4
2024/11/8, 75, 30, 33, 25, 1, 3
2024/11/9, 68, 25, 25, 21, 1, 3
2024/11/10, 63, 33, 27, 29, 1, 4
2024/11/11, 76, 42, 25, 52, 2, 5
2024/11/12, 94, 28, 17, 29, 2, 4
2024/11/13, 69, 11, 20, 13, 1, 3
2024/11/14, 36, 11, 16, 22, 1, 4
2024/11/15, 48, 28, 6, 33, 2, 6
2024/11/16, 74, 18, 22, 24, 1, 4
2024/11/17, 50, 29, 12, 28, 2, 5
2024/11/18, 69, 20, 6, 22, 2, 5
2024/11/19, 55, 9, 4, 23, 1, 5
2024/11/20, 31, 15, 4, 24, 1, 5
2024/11/21, 44, 26, 4, 30, 1, 5
2024/11/22, 65, 26, 13, 25, 1, 4
2024/11/23, 67, , , , , 
2024/10/1, 62, 25, 16, 38, 2, 4
2024/10/2, 57, 32, 30, 43, 2, 4
2024/10/3, 66, 29, 24, 47, 2, 4
2024/10/4, 64, 26, 26, 37, 1, 4
2024/10/5, 63, 26, 26, 31, 1, 3
2024/10/6, 64, 29, 23, 43, 1, 4
2024/10/7, 74, 29, 26, 34, 1, 4
2024/10/8, 74, 31, 17, 29, 1, 4
2024/10/9, 76, 24, 27, 33, 1, 4
2024/10/10, 66, 28, 49, 22, 1, 4
2024/10/11, 70, 38, 64, 25, 1, 4
2024/10/12, 80, 27, 38, 18, 1, 3
2024/10/13, 60, 24, 26, 21, 1, 3
2024/10/14, 61, 26, 27, 22, 1, 3
2024/10/15, 65, 24, 28, 20, 1, 3
2024/10/16, 58, 24, 23, 22, 1, 3
2024/10/17, 53, 23, 25, 21, 1, 3
2024/10/18, 57, 30, 32, 32, 1, 4
2024/10/19, 74, 20, 28, 15, 1, 2
2024/10/20, 48, 29, 28, 26, 1, 4
2024/10/21, 68, 27, 24, 37, 2, 4
2024/10/22, 65, 26, 13, 36, 2, 5
2024/10/23, 62, 32, 16, 48, 3, 5
2024/10/24, 66, 32, 18, 48, 3, 4
2024/10/25, 72, 26, 19, 25, 1, 4
2024/10/26, 66, 25, 18, 21, 1, 3
2024/10/27, 65, 20, 12, 28, 2, 5
2024/10/28, 55, 19, 13, 29, 1, 4
2024/10/29, 53, 31, 12, 41, 2, 5
2024/10/30, 72, 39, 11, 54, 3, 6
2024/10/31, 81, 28, 13, 44, 2, 4
2024/7/1, 34, 16, 13, 14, 1, 2
2024/7/2, 34, 17, 5, 20, 1, 3
2024/7/3, 40, 17, 4, 24, 1, 3
2024/7/4, 46, 23, 2, 26, 2, 3
2024/7/5, 56, 21, 3, 20, 2, 3
2024/7/6, 43, 13, 9, 16, 1, 2
2024/7/7, 28, 15, 11, 20, 1, 3
2024/7/8, 47, 12, 9, 23, 2, 3
2024/7/9, 36, 11, 7, 23, 2, 3
2024/7/10, 32, 11, 8, 19, 1, 4
2024/7/11, 32, 13, 5, 25, 2, 5
2024/7/12, 38, 12, 6, 19, 1, 4
2024/7/13, 32, 14, 13, 15, 1, 4
2024/7/14, 44, 13, 7, 14, 1, 3
2024/7/15, 34, 13, 6, 17, 1, 3
2024/7/16, 31, 11, 7, 18, 1, 3
2024/7/17, 31, 13, 6, 19, , 5
2024/7/18, 40, 15, 2, 17, 1, 5
2024/7/19, 43, 14, 5, 11, , 2
2024/7/20, 30, 12, 8, 11, , 2
2024/7/21, 24, 15, 7, 16, , 3
2024/7/22, 34, 16, 9, 22, 1, 4
2024/7/23, 39, 24, 17, 32, 1, 4
2024/7/24, 52, 20, 21, 23, 1, 4
2024/7/25, 51, 17, 16, 17, , 3
2024/7/26, 41, 16, 15, 18, , 3
2024/7/27, 40, 9, 12, 16, , 3
2024/7/28, 26, 9, 6, 17, , 3
2024/7/29, 28, 8, 6, 19, , 4
2024/7/30, 28, 12, 12, 18, , 4
2024/7/31, 35, 20, 11, 14, , 3
2024/8/1, 50, 19, 10, 17, , 4
2024/8/2, 49, 16, 8, 18, , 4
2024/8/3, 42, 18, 19, 25, , 4
2024/8/4, 52, 30, 18, 43, , 6
2024/8/5, 74, 33, 7, 53, 1, 7
2024/8/6, 80, 29, 10, 47, 2, 6
2024/8/7, 77, 15, 12, 17, , 3
2024/8/8, 45, 12, 8, 12, , 2
2024/8/9, 33, 16, 11, 16, , 3
2024/8/10, 41, 16, 13, 14, , 2
2024/8/11, 47, 17, 9, 27, 1, 4
2024/8/12, 50, 21, 4, 33, 1, 5
2024/8/13, 58, 19, 2, 30, 1, 5
2024/8/14, 55, 18, 1, 29, 2, 5
2024/8/15, 55, 13, 4, 24, 1, 5
2024/8/16, 42, 14, 11, 26, , 4
2024/8/17, 41, 13, 10, 17, , 4
2024/8/18, 38, 12, 9, 18, , 4
2024/8/19, 38, 13, 10, 21, , 4
2024/8/20, 39, 19, 3, 27, 1, 5
2024/8/21, 51, 21, 2, 24, 2, 5
2024/8/22, 54, 23, 1, 25, 1, 5
2024/8/23, 61, 22, 8, 26, 1, 4
2024/8/24, 61, 14, 6, 22, 1, 3
2024/8/25, 42, 19, 6, 33, 1, 5
2024/8/26, 53, 19, 11, 29, 1, 5
2024/8/27, 53, 29, 20, 45, 1, 6
2024/8/28, 71, 29, 25, 49, 1, 6
2024/8/29, 77, 22, 25, 25, , 4
2024/8/30, 63, 11, 9, 16, , 3
2024/8/31, 34, 13, 4, 23, 1, 5
2024/9/1, 41, 22, 4, 43, 1, 5
2024/9/2, 61, 38, 23, 63, 1, 7
2024/9/3, 88, 27, 17, 43, 1, 5
2024/9/4, 67, 20, 23, 17, , 2
2024/9/5, 49, 12, 21, 8, , 1
2024/9/6, 25, 21, 14, 16, , 2
2024/9/7, 47, 13, 9, 15, , 2
2024/9/8, 30, 11, 9, 27, , 3
2024/9/9, 32, 18, 13, 27, , 3
2024/9/10, 51, 28, 8, 32, 1, 4
2024/9/11, 71, 28, 4, 41, 2, 4
2024/9/12, 67, 21, 13, 29, , 3
2024/9/13, 58, 31, 9, 33, 1, 5
2024/9/14, 67, 39, 42, 41, 1, 5
2024/9/15, 90, 17, 10, 29, , 3
2024/9/16, 50, 17, 13, 24, , 2
2024/9/17, 47, 23, 21, 15, , 2
2024/9/18, 44, 23, 18, 21, , 2
2024/9/19, 50, 19, 20, 27, , 4
2024/9/20, 54, 17, 6, 29, 1, 5
2024/9/21, 55, 12, 5, 22, , 7
2024/9/22, 36, 10, 8, 23, , 4
2024/9/23, 38, 13, 2, 25, 1, 5
2024/9/24, 39, 15, 9, 26, 1, 5
2024/9/25, 43, 19, 11, 39, 1, 6
2024/9/26, 55, 22, 11, 37, 1, 5
2024/9/27, 60, 31, 21, 36, 1, 5
2024/9/28, 81, 24, 27, 26, 1, 3
2024/9/29, 57, 40, 35, 55, 2, 7
2024/9/30, 92, 26, 7, 32, 2, 4
2024/4/1, 88, 39, 10, 25, 1, 3
2024/4/2, 99, 19, 9, 20, 1, 2
2024/4/3, 51, 15, 8, 17, , 2
2024/4/4, 45, 27, 16, 21, 1, 3
2024/4/5, 76, 28, 22, 25, , 3
2024/4/6, 66, 24, 13, 21, , 2
2024/4/7, 57, 33, 18, 24, 1, 3
2024/4/8, 71, 16, 20, 24, 1, 5
2024/4/9, 43, 29, 46, 28, 1, 3
2024/4/10, 60, 38, 45, 35, , 3
2024/4/11, 77, 39, 28, 47, 1, 4
2024/4/12, 84, 33, 15, 38, 1, 4
2024/4/13, 81, 17, 13, 17, 1, 2
2024/4/14, 52, 23, 10, 22, 1, 2
2024/4/15, 66, 25, 9, 22, 1, 2
2024/4/16, 72, 19, 9, 19, 1, 2
2024/4/17, 58, 21, 12, 33, 1, 4
2024/4/18, 57, 23, 10, 22, , 3
2024/4/19, 58, 24, 12, 22, , 3
2024/4/20, 59, 14, 19, 22, , 3
2024/4/21, 39, 23, 1, 35, 2, 5
2024/4/22, 63, 29, 15, 36, 1, 5
2024/4/23, 69, 31, 14, 42, 2, 5
2024/4/24, 78, 21, 23, 25, 1, 4
2024/4/25, 54, 22, 13, 25, 1, 4
2024/4/26, 55, 22, 5, 18, 1, 3
2024/4/27, 49, 17, 25, 22, , 2
2024/4/28, 43, 22, 17, 24, 1, 3
2024/4/29, 51, 20, 16, 18, 1, 3
2024/4/30, 47, 18, 28, 39, 1, 4
2024/5/1, 54, 24, 38, 29, , 3
2024/5/2, 58, 31, 43, 27, , 3
2024/5/3, 61, 15, 38, 31, , 3
2024/5/4, 46, 14, 24, 34, , 3
2024/5/5, 43, 28, 10, 36, 2, 4
2024/5/6, 72, 33, 27, 47, 1, 4
2024/5/7, 80, 29, 38, 34, 1, 4
2024/5/8, 77, 39, 52, 28, , 3
2024/5/9, 77, 32, 56, 27, , 2
2024/5/10, 61, 38, 32, 33, 1, 2
2024/5/11, 61, 31, 20, 34, 1, 3
2024/5/12, 68, 30, 33, 36, 1, 4
2024/5/13, 73, 32, 41, 33, 1, 3
2024/5/14, 53, 28, 47, 29, 1, 2
2024/5/15, 55, 37, 60, 31, 1, 2
2024/5/16, 69, 32, 49, 35, , 3
2024/5/17, 59, 24, 42, 30, 1, 2
2024/5/18, 59, 27, 43, 21, 1, 2
2024/5/19, 65, 12, 26, 25, 1, 2
2024/5/20, 43, 12, 19, 33, 1, 3
2024/5/21, 37, 28, 7, 39, 2, 5
2024/5/22, 74, 16, 11, 36, 1, 3
2024/5/23, 52, 11, 18, 26, 1, 3
2024/5/24, 37, 15, 4, 31, 1, 3
2024/5/25, 49, 14, 7, 22, 1, 2
2024/5/26, 47, 16, 9, 19, 1, 2
2024/5/27, 52, 17, 41, 33, 1, 3
2024/5/28, 52, 30, 48, 21, , 1
2024/5/29, 55, 17, 40, 26, 1, 2
2024/5/30, 47, 15, 19, 25, 1, 3
2024/5/31, 46, 12, 20, 24, 1, 2
2024/6/1, 32, 20, 17, 35, 1, 3
2024/6/2, 63, 15, 25, 29, 1, 2
2024/6/3, 46, 27, 40, 31, 1, 3
2024/6/4, 62, 18, 36, 27, 1, 3
2024/6/5, 54, 21, 21, 31, 1, 4
2024/6/6, 61, 14, 31, 28, 1, 3
2024/6/7, 43, 13, 30, 25, 1, 3
2024/6/8, 38, 14, 8, 23, 1, 3
2024/6/9, 38, 11, 10, 16, 1, 1
2024/6/10, 31, 18, 14, 22, 1, 2
2024/6/11, 44, 22, 10, 25, 1, 3
2024/6/12, 53, 24, 22, 25, 1, 3
2024/6/13, 56, 24, 23, 21, 1, 3
2024/6/14, 58, 21, 24, 23, 1, 3
2024/6/15, 52, 16, 16, 17, 1, 2
2024/6/16, 39, 16, 12, 17, 1, 2
2024/6/17, 37, 17, 16, 16, 1, 1
2024/6/18, 40, 15, 9, 20, 1, 2
2024/6/19, 34, 14, 8, 19, 1, 2
2024/6/20, 39, 16, 7, 19, 1, 2
2024/6/21, 45, 22, 9, 19, 1, 2
2024/6/22, 65, 12, 11, 17, 1, 1
2024/6/23, 31, 13, 10, 19, 1, 2
2024/6/24, 32, 21, 9, 21, 1, 1
2024/6/25, 43, 17, 6, 23, 1, 2
2024/6/26, 47, 19, 6, 20, 1, 2
2024/6/27, 41, 18, 10, 20, 1, 1
2024/6/28, 35, 13, 9, 19, 1, 2
2024/6/29, 33, 16, 14, 14, 1, 1
2024/6/30, 33, 16, 16, 12, 1, 1
2024/1/1, 130, 55, 43, 30, , 5
2024/1/2, 108, 48, 15, 43, 2, 5
2024/1/3, 98, 31, 19, 32, 1, 4
2024/1/4, 66, 43, 33, 42, 1, 4
2024/1/5, 82, 50, 11, 60, 2, 6
2024/1/6, 107, 49, 43, 26, , 4
2024/1/7, 104, 55, 48, 28, , 4
2024/1/8, 115, 54, 30, 52, 1, 5
2024/1/9, 109, 35, 18, 39, 1, 5
2024/1/10, 75, 38, 28, 29, , 5
2024/1/11, 85, 57, 35, 38, , 5
2024/1/12, 124, 46, 36, 34, 1, 4
2024/1/13, 99, 21, 31, 23, , 3
2024/1/14, 48, 27, 40, 35, , 4
2024/1/15, 57, 38, 37, 23, , 4
2024/1/16, 76, 35, 35, 28, , 3
2024/1/17, 71, 28, 23, 30, 1, 3
2024/1/18, 56, 23, 20, 34, 1, 3
2024/1/19, 56, 38, 20, 35, 2, 4
2024/1/20, 78, 29, 26, 24, 1, 5
2024/1/21, 66, 36, 18, 22, 1, 6
2024/1/22, 74, 21, 8, 19, 1, 4
2024/1/23, 51, 35, 13, 31, 2, 4
2024/1/24, 83, 41, 9, 38, 2, 4
2024/1/25, 90, 41, 10, 36, 2, 4
2024/1/26, 90, 49, 12, 37, 2, 4
2024/1/27, 107, 30, 10, 26, 1, 5
2024/1/28, 83, 35, 10, 27, 1, 5
2024/1/29, 91, 38, 19, 31, 1, 4
2024/1/30, 91, 41, 22, 32, , 4
2024/1/31, 79, 29, 17, 35, 1, 4
2024/2/1, 67, 23, 18, 33, 1, 3
2024/2/2, 59, 22, 24, 25, , 2
2024/2/3, 50, 21, 21, 23, , 2
2024/2/4, 58, 23, 23, 26, , 3
2024/2/5, 63, 24, 26, 23, , 3
2024/2/6, 53, 18, 24, 20, 1, 4
2024/2/7, 50, 12, 3, 21, 2, 7
2024/2/8, 33, 15, 5, 23, 1, 7
2024/2/9, 41, 33, 9, 26, 1, 5
2024/2/10, 89, 31, 20, 31, 1, 5
2024/2/11, 77, 31, 32, 22, , 3
2024/2/12, 61, 36, 32, 23, , 3
2024/2/13, 72, 34, 24, 34, , 4
2024/2/14, 68, 31, 10, 39, 1, 5
2024/2/15, 66, 33, 21, 30, 1, 5
2024/2/16, 73, 26, 28, 25, , 3
2024/2/17, 54, 35, 19, 28, , 3
2024/2/18, 64, 23, 6, 27, 1, 3
2024/2/19, 54, 18, 13, 24, 1, 3
2024/2/20, 47, 22, 11, 26, 1, 3
2024/2/21, 59, 28, 5, 30, 1, 3
2024/2/22, 69, 30, 15, 20, , 4
2024/2/23, 68, 37, 7, 29, 1, 5
2024/2/24, 78, 31, 5, 27, 1, 5
2024/2/25, 73, 42, 10, 29, 1, 5
2024/2/26, 90, 41, 24, 30, 1, 5
2024/2/27, 90, 31, 29, 25, , 4
2024/2/28, 68, 38, 22, 25, 1, 5
2024/2/29, 81, 17, 10, 29, , 5
2024/3/1, 40, 25, 11, 31, , 4
2024/3/2, 64, 32, 31, 19, , 4
2024/3/3, 68, 40, 32, 29, , 4
2024/3/4, 71, 31, 5, 28, 1, 4
2024/3/5, 69, 45, 1, 30, 2, 4
2024/3/6, 95, 34, 8, 27, 1, 6
2024/3/7, 73, 29, 36, 28, , 5
2024/3/8, 71, 51, 48, 24, , 4
