date, pm25, pm10, o3, no2, so2
2024/11/1, 49, 14, 33, 17, 
2024/11/2, 37, 22, 51, 13, 
2024/11/3, 50, 36, 61, 20, 
2024/11/4, 71, 32, 50, 17, 
2024/11/5, 72, 38, 56, 18, 
2024/11/6, 87, 32, 47, 22, 
2024/11/7, 67, 25, 45, 22, 1
2024/11/8, 58, 24, 39, 15, 
2024/11/9, 56, 21, 29, 13, 
2024/11/10, 52, 26, 42, 15, 
2024/11/11, 63, 31, 46, 23, 
2024/11/12, 70, 22, 20, 21, 
2024/11/13, 56, 10, 19, 12, 
2024/11/14, 23, 8, 16, 19, 
2024/11/15, 27, 22, 11, 28, 
2024/11/16, 56, 14, 27, 16, 
2024/11/17, 36, 21, 22, 14, 
2024/11/18, 54, 10, 11, 14, 
2024/11/19, 31, 4, 11, 16, 
2024/11/20, 12, 9, 9, 18, 
2024/11/21, 28, 16, 18, 17, 
2024/11/22, 47, 17, 23, 13, 
2024/11/23, 51, , , , 
2024/10/1, 46, 21, 32, 20, 1
2024/10/2, 47, 27, 43, 18, 1
2024/10/3, 54, 22, 44, 21, 1
2024/10/4, 49, 19, 46, 15, 1
2024/10/5, 50, 19, 40, 14, 
2024/10/6, 55, 23, 38, 22, 
2024/10/7, 64, 25, 48, 15, 
2024/10/8, 66, 23, 31, 12, 
2024/10/9, 65, 17, 41, 16, 
2024/10/10, 53, 23, 71, 16, 
2024/10/11, 63, 34, 67, 13, 
2024/10/12, 70, 23, 47, 11, 
2024/10/13, 50, 21, 40, 15, 
2024/10/14, 53, 22, 32, 13, 
2024/10/15, 57, 20, 30, 13, 
2024/10/16, 46, 20, 37, 11, 
2024/10/17, 46, 20, 30, 13, 
2024/10/18, 50, 24, 54, 21, 
2024/10/19, 62, 16, 42, 8, 
2024/10/20, 34, 23, 38, 13, 
2024/10/21, 56, 20, 38, 15, 
2024/10/22, 51, 22, 28, 19, 
2024/10/23, 52, 25, 33, 27, 1
2024/10/24, 54, 26, 34, 24, 1
2024/10/25, 57, 22, 29, 14, 1
2024/10/26, 57, 22, 31, 11, 
2024/10/27, 61, 14, 23, 16, 
2024/10/28, 39, 15, 33, 14, 
2024/10/29, 42, 25, 35, 22, 
2024/10/30, 62, 31, 42, 28, 1
2024/10/31, 67, 20, 40, 20, 
2024/7/1, 31, 15, 13, 15, 
2024/7/2, 31, 7, 12, 12, 
2024/7/3, 14, 10, 12, 17, 
2024/7/4, 27, 12, 4, 16, 
2024/7/5, 37, 8, 9, 13, 
2024/7/6, 16, 7, 13, 12, 
2024/7/7, 15, 11, 14, 15, 
2024/7/8, 35, 9, 15, 16, 
2024/7/9, 26, 7, 12, 16, 
2024/7/10, 19, 6, 10, 15, 
2024/7/11, 16, 8, 11, 18, 
2024/7/12, 22, 9, 9, 15, 
2024/7/13, 21, 11, 17, 9, 
2024/7/14, 32, 9, 11, 11, 
2024/7/15, 16, 10, 11, 12, 
2024/7/16, 19, 9, 14, 11, 
2024/7/17, 17, 10, 9, 14, 
2024/7/18, 25, 11, 5, 13, 
2024/7/19, 21, 12, 7, 10, 
2024/7/20, 20, 10, 13, 8, 
2024/7/21, 16, 8, 13, 12, 
2024/7/22, 14, 10, 15, 18, 
2024/7/23, 23, 17, 33, 27, 1
2024/7/24, 37, 19, 28, 21, 
2024/7/25, 46, 17, 16, 16, 
2024/7/26, 39, 14, 18, 15, 
2024/7/27, 30, 6, 14, 12, 
2024/7/28, 15, 8, 12, 13, 
2024/7/29, 17, 6, 9, 17, 
2024/7/30, 15, 12, 13, 17, 
2024/7/31, 29, 21, 13, 15, 
2024/8/1, 47, 18, 11, 17, 
2024/8/2, 44, 14, 15, 16, 
2024/8/3, 35, 17, 32, 21, 1
2024/8/4, 48, 27, 54, 27, 
2024/8/5, 65, 24, 30, 29, 
2024/8/6, 61, 24, 33, 33, 
2024/8/7, 64, 15, 19, 18, 
2024/8/8, 41, 13, 13, 15, 
2024/8/9, 32, 14, 15, 15, 
2024/8/10, 37, 16, 19, 14, 
2024/8/11, 44, 14, 13, 21, 
2024/8/12, 39, 16, 18, 26, 
2024/8/13, 45, 13, 9, 22, 
2024/8/14, 37, 12, 4, 26, 1
2024/8/15, 37, 10, 9, 23, 1
2024/8/16, 30, 12, 12, 23, 
2024/8/17, 33, 11, 17, 16, 
2024/8/18, 30, 13, 14, 22, 
2024/8/19, 38, 12, 14, 20, 
2024/8/20, 31, 14, 7, 24, 1
2024/8/21, 33, 15, 7, 18, 1
2024/8/22, 34, 15, 11, 19, 1
2024/8/23, 44, 16, 20, 22, 1
2024/8/24, 48, 9, 13, 18, 1
2024/8/25, 27, 11, 24, 20, 1
2024/8/26, 34, 15, 31, 23, 1
2024/8/27, 40, 25, 43, 33, 1
