date, pm25, pm10, o3, no2, so2, co
2024/11/1, 55, 12, 24, 25, , 4
2024/11/2, 47, 22, 30, 28, 1, 4
2024/11/3, 61, 29, 34, 38, 1, 5
2024/11/4, 71, 38, 23, 36, 1, 5
2024/11/5, 87, 43, 12, 41, 1, 7
2024/11/6, 100, 35, 11, 41, 1, 5
2024/11/7, 75, 29, 11, 44, 1, 4
2024/11/8, 66, 28, 6, 37, 1, 5
2024/11/9, 67, 21, 7, 27, 1, 4
2024/11/10, 61, 33, 3, 35, 1, 6
2024/11/11, 80, 36, 8, 47, 1, 6
2024/11/12, 87, 22, 4, 25, 1, 4
2024/11/13, 65, 7, 11, 16, , 2
2024/11/14, 35, 11, 3, 22, 2, 6
2024/11/15, 62, 26, 2, 25, 2, 8
2024/11/16, 68, 17, 5, 22, 1, 5
2024/11/17, 49, 23, 4, 23, , 5
2024/11/18, 60, 11, 3, 17, , 4
2024/11/19, 38, 4, 4, 17, , 4
2024/11/20, 20, 10, 3, 18, 1, 5
2024/11/21, 34, 19, 3, 22, 1, 5
2024/11/22, 58, 21, 3, 22, 1, 5
2024/11/23, 62, , , , , 
2024/10/1, 57, 16, 26, 27, , 3
2024/10/2, 50, 22, 39, 23, 1, 3
2024/10/3, 57, 20, 36, 31, 1, 3
2024/10/4, 57, 22, 26, 32, 1, 3
2024/10/5, 58, 20, 24, 33, 1, 4
2024/10/6, 60, 24, 26, 38, 2, 4
2024/10/7, 68, 26, 33, 30, 1, 4
2024/10/8, 73, 25, 19, 25, 1, 4
2024/10/9, 72, 22, 25, 30, , 4
2024/10/10, 64, 26, 30, 33, , 5
2024/10/11, 71, 38, 56, 40, 1, 5
2024/10/12, 81, 24, 34, 25, , 4
2024/10/13, 60, 22, 23, 26, , 4
2024/10/14, 59, 23, 24, 24, , 4
2024/10/15, 65, 22, 22, 29, 1, 4
2024/10/16, 58, 22, 20, 25, , 3
2024/10/17, 56, 20, 22, 26, 1, 4
2024/10/18, 59, 25, 42, 36, 1, 4
2024/10/19, 74, 17, 23, 23, 1, 4
2024/10/20, 48, 25, 24, 29, , 4
2024/10/21, 68, 18, 24, 27, 1, 2
2024/10/22, 58, 20, 22, 21, , 3
2024/10/23, 56, 27, 25, 32, 1, 4
2024/10/24, 59, 26, 32, 24, 1, 3
2024/10/25, 64, 24, 29, 20, 1, 3
2024/10/26, 64, 22, 26, 21, 1, 3
2024/10/27, 63, 14, 14, 23, 1, 4
2024/10/28, 45, 17, 15, 26, 1, 4
2024/10/29, 51, 25, 21, 35, 1, 5
2024/10/30, 67, 27, 22, 38, 1, 5
2024/10/31, 69, 19, 32, 28, 1, 4
2024/7/1, 37, 16, 10, 24, , 2
