date, pm25, pm10, o3, no2, so2, co
2024/11/1, 61, 22, 29, 15, , 4
2024/11/2, 49, 30, 55, 16, 1, 4
2024/11/3, 70, 39, 64, 16, 1, 4
2024/11/4, 79, 37, 47, 15, 1, 4
2024/11/5, 82, 43, 59, 14, 1, 5
2024/11/6, 95, 38, 47, 18, 1, 4
2024/11/7, 77, 34, 50, 23, 1, 4
2024/11/8, 67, 31, 41, 18, 1, 4
2024/11/9, 64, 33, 26, 16, 1, 4
2024/11/10, 76, 36, 47, 14, 1, 4
2024/11/11, 87, 36, 58, 20, 1, 4
2024/11/12, 84, 29, 21, 20, 1, 4
2024/11/13, 75, 12, 21, 8, 1, 3
2024/11/14, 41, 9, 21, 16, , 4
2024/11/15, 30, 20, 10, 17, 1, 4
2024/11/16, 51, 18, 27, 12, , 3
2024/11/17, 48, 27, 23, 15, 1, 5
2024/11/18, 62, 13, 9, 11, , 4
2024/11/19, 38, 7, 8, 12, , 4
2024/11/20, 27, 11, 14, 10, , 3
2024/11/21, 37, 25, 20, 13, , 4
2024/11/22, 63, 27, 17, 13, , 4
2024/11/23, 66, , , , , 
2024/10/1, 65, 27, 41, 10, 1, 3
2024/10/2, 55, 34, 52, 14, 2, 3
2024/10/3, 64, 30, 55, 16, 2, 3
2024/10/4, 59, 28, 54, 15, 2, 3
2024/10/5, 62, 26, 47, 13, 2, 3
2024/10/6, 65, 32, 53, 19, 2, 3
2024/10/7, 74, 36, 72, 12, 2, 3
2024/10/8, 80, 33, 31, 17, 2, 4
2024/10/9, 79, 24, 58, 13, 2, 4
2024/10/10, 65, 27, 70, 9, 2, 4
2024/10/11, 72, 37, 82, 10, 2, 4
2024/10/12, 79, 25, 57, 6, 2, 3
2024/10/13, 55, 21, 43, 7, 2, 2
2024/10/14, 54, 23, 40, 11, 2, 2
2024/10/15, 61, 21, 41, 9, 2, 2
2024/10/16, 50, 23, 40, 7, 2, 2
2024/10/17, 49, 21, 32, 9, 2, 2
2024/10/18, 53, 27, 62, 13, 2, 3
2024/10/19, 67, 19, 39, 5, 1, 2
2024/10/20, 46, 30, 52, 12, 2, 4
2024/10/21, 71, 26, 47, 13, 2, 3
2024/10/22, 60, 26, 34, 10, 1, 3
2024/10/23, 60, 36, 47, 17, 1, 4
2024/10/24, 67, 36, 46, 13, 1, 3
2024/10/25, 70, 34, 33, 13, 1, 3
2024/10/26, 74, 34, 40, 12, 1, 4
2024/10/27, 84, 21, 20, 14, 1, 4
2024/10/28, 46, 23, 30, 15, , 3
2024/10/29, 55, 32, 43, 16, 1, 4
2024/10/30, 73, 43, 50, 19, 1, 4
2024/10/31, 83, 29, 47, 16, , 3
2024/7/1, 38, 14, 18, 7, 2, 3
2024/7/2, 38, 11, 17, 5, 2, 2
2024/7/3, 25, 11, 17, 11, 2, 3
2024/7/4, 31, 20, 3, 11, 2, 4
2024/7/5, 54, 9, 18, 7, 2, 3
2024/7/6, 20, 9, 21, 6, 2, 3
2024/7/7, 25, 13, 24, 7, 2, 2
2024/7/8, 44, 11, 27, 9, 2, 3
2024/7/9, 38, 8, 23, 9, 2, 3
2024/7/10, 26, 8, 20, 7, 2, 2
2024/7/11, 23, 7, 21, 9, 2, 3
2024/7/12, 19, 11, 19, 7, 2, 3
2024/7/13, 29, 9, 20, 4, 2, 3
2024/7/14, 29, 10, 16, 6, 2, 3
2024/7/15, 22, 10, 17, 8, 2, 3
2024/7/16, 22, 11, 20, 6, 2, 3
2024/7/17, 27, 11, 15, 9, 2, 2
2024/7/18, 30, 10, 9, 9, 2, 2
2024/7/19, 26, 12, 12, 5, 2, 1
2024/7/20, 24, 10, 16, 3, 2, 1
