date, pm25, pm10, o3, no2, so2, co
2024/11/1, 58, 17, 40, 11, , 3
2024/11/2, 42, 28, 56, 7, 1, 3
2024/11/3, 62, 36, 74, 10, 1, 3
2024/11/4, 66, 36, 57, 11, 1, 3
2024/11/5, 79, 39, 67, 10, 1, 4
2024/11/6, 89, 37, 60, 10, 1, 3
2024/11/7, 67, 31, 53, 18, 1, 3
2024/11/8, 62, 29, 46, 10, 1, 3
2024/11/9, 55, 23, 33, 7, 1, 3
2024/11/10, 54, 28, 50, 11, 1, 3
2024/11/11, 57, 38, 70, 18, 2, 3
2024/11/12, 89, 22, 28, 12, 1, 3
2024/11/13, 54, 13, 31, 3, 1, 2
2024/11/14, 43, 9, 26, 9, 1, 3
2024/11/15, 29, 15, 21, 16, 2, 3
2024/11/16, 42, 11, 40, 9, 1, 3
2024/11/17, 26, 21, 25, 10, , 4
2024/11/18, 55, 13, 15, 13, , 3
2024/11/19, 41, 4, 15, 14, , 3
2024/11/20, 14, 9, 14, 15, , 3
2024/11/21, 32, 17, 21, 16, , 3
2024/11/22, 52, 19, 32, 13, , 3
2024/11/23, 57, , , , , 
2024/10/1, 49, 30, 44, 7, , 4
2024/10/2, 49, 33, 52, 9, 1, 4
2024/10/3, 60, 28, 63, 14, 1, 4
2024/10/4, 54, 27, 57, 12, 1, 4
2024/10/5, 57, 23, 45, 10, 1, 5
2024/10/6, 56, 26, 47, 11, 1, 4
2024/10/7, 65, 30, 58, 10, 1, 5
2024/10/8, 69, 28, 31, 10, 1, 5
2024/10/9, 66, 21, 46, 10, 1, 5
2024/10/10, 56, 23, 78, 6, , 5
2024/10/11, 57, 37, 78, 7, 1, 5
2024/10/12, 70, 27, 51, 5, , 4
2024/10/13, 56, 25, 42, 7, , 4
2024/10/14, 57, 24, 37, 7, 1, 4
2024/10/15, 55, 23, 41, 6, , 4
2024/10/16, 48, 23, 37, 7, , 4
2024/10/17, 45, 22, 31, 7, 1, 3
2024/10/18, 51, 24, 57, 13, 2, 2
2024/10/19, 63, 19, 41, 4, , 2
2024/10/20, 36, 29, 40, 7, , 3
2024/10/21, 63, 26, 44, 10, 1, 3
2024/10/22, 58, 26, 33, 8, , 3
2024/10/23, 52, 34, 42, 15, 1, 3
2024/10/24, 55, 30, 49, 12, 1, 3
2024/10/25, 61, 25, 34, 7, 1, 3
2024/10/26, 53, 23, 35, 5, 1, 3
2024/10/27, 54, 21, 25, 12, , 4
2024/10/28, 43, 20, 35, 11, 1, 3
2024/10/29, 43, 29, 49, 14, 1, 3
2024/10/30, 64, 41, 61, 16, 1, 3
2024/10/31, 75, 29, 61, 11, 1, 3
2024/7/1, 36, 18, 17, 5, 1, 3
2024/7/2, 34, 11, 15, 4, , 2
2024/7/3, 20, 9, 16, 5, , 2
2024/7/4, 20, 15, 9, 1, 1, 3
