date, pm25, pm10, o3, no2, so2, co
2024/11/1, 49, 17, 40, 6, 2, 3
2024/11/2, 36, 26, 60, 5, 3, 3
2024/11/3, 51, 40, 85, 5, 3, 3
2024/11/4, 73, 34, 64, 6, 3, 4
2024/11/5, 70, 41, 71, 6, 3, 5
2024/11/6, 84, 35, 61, 9, 3, 4
2024/11/7, 66, 28, 62, 9, 3, 4
2024/11/8, 53, 27, 48, 8, 3, 3
2024/11/9, 50, 24, 34, 6, 2, 3
2024/11/10, 46, 31, 50, 7, 3, 3
2024/11/11, 63, 34, 70, 11, 3, 4
2024/11/12, 69, 24, 24, 9, 3, 3
2024/11/13, 50, 13, 29, 4, 2, 2
2024/11/14, 19, 9, 22, 10, 2, 3
2024/11/15, 18, 15, 24, 15, 2, 3
2024/11/16, 25, 14, 37, 8, 2, 2
2024/11/17, 23, 25, 28, 7, 2, 3
2024/11/18, 50, 10, 14, 5, 1, 2
2024/11/19, 24, 3, 14, 5, , 1
2024/11/20, 14, 8, 19, 6, , 1
2024/11/21, 27, 16, 28, 7, , 2
2024/11/22, 47, 20, 32, 5, , 2
2024/11/23, 58, , , , , 
2024/10/1, 40, 22, 45, 5, 2, 3
2024/10/2, 47, 28, 58, 4, 3, 3
2024/10/3, 52, 23, 57, 7, 3, 3
2024/10/4, 45, 22, 61, 5, 2, 2
2024/10/5, 49, 19, 49, 6, 3, 3
2024/10/6, 48, 23, 53, 11, 2, 3
2024/10/7, 59, 26, 62, 5, 2, 3
2024/10/8, 66, 27, 37, 6, 2, 3
2024/10/9, 68, 17, 49, 5, 2, 3
2024/10/10, 48, 20, 76, 9, 2, 4
2024/10/11, 52, 33, 79, 6, 2, 3
2024/10/12, 62, 21, 56, 3, 2, 2
2024/10/13, 35, 20, 44, 5, 2, 2
2024/10/14, 40, 22, 41, 5, 2, 2
2024/10/15, 49, 21, 42, 5, 2, 2
2024/10/16, 40, 21, 41, 5, 2, 2
2024/10/17, 34, 21, 34, 6, 2, 2
2024/10/18, 39, 22, 60, 10, 2, 3
2024/10/19, 48, 19, 45, 4, 2, 2
2024/10/20, 31, 23, 51, 5, 2, 3
2024/10/21, 46, 20, 52, 5, 2, 3
2024/10/22, 42, 21, 41, 4, 2, 3
2024/10/23, 42, 25, 55, 7, 3, 4
2024/10/24, 48, 28, 56, 6, 3, 3
2024/10/25, 53, 26, 36, 6, 3, 3
2024/10/26, 59, 24, 37, 5, 3, 3
2024/10/27, 57, 15, 29, 7, 2, 4
2024/10/28, 30, 17, 39, 8, 2, 4
2024/10/29, 41, 25, 52, 11, 3, 4
2024/10/30, 59, 33, 62, 13, 3, 4
2024/10/31, 67, 22, 57, 7, 2, 3
2024/7/1, 31, 21, 19, 8, , 
2024/7/2, 28, 13, 18, 6, , 
2024/7/3, 19, 12, 21, 8, , 
2024/7/4, 22, 20, 5, 12, , 1
2024/7/5, 41, 10, 17, 4, , 
2024/7/6, 11, 12, 19, 5, , 
2024/7/7, 13, 16, 25, 7, , 
2024/7/8, 32, 14, 23, 7, , 
2024/7/9, 22, 10, 23, 7, , 
2024/7/10, 16, 10, 20, 6, , 
2024/7/11, 14, 11, 19, 10, , 
2024/7/12, 17, 13, 17, 7, , 
2024/7/13, 15, 13, 22, 4, , 
2024/7/14, 26, 14, 18, 5, , 
2024/7/15, 13, 14, 16, 5, , 
2024/7/16, 15, 14, 22, 6, , 
2024/7/17, 18, 13, 18, 8, , 
2024/7/18, 20, 13, 11, 6, , 
2024/7/19, 19, 17, 13, 4, , 
2024/7/20, 17, 15, 18, 2, , 
2024/7/21, 18, 13, 21, 4, , 
2024/7/22, 18, 15, 24, 10, , 
2024/7/23, 21, 23, 41, 18, 1, 1
2024/7/24, 38, 26, 36, 12, 1, 1
2024/7/25, 49, 20, 22, 9, , 1
2024/7/26, 34, 17, 25, 9, , 1
2024/7/27, 26, 10, 20, 5, , 1
2024/7/28, 15, 12, 15, 5, , 
2024/7/29, 18, 10, 19, 7, , 
2024/7/30, 13, 16, 17, 11, , 1
2024/7/31, 23, 25, 21, 9, , 1
2024/8/1, 47, 23, 20, 8, , 1
2024/8/2, 44, 20, 23, 9, , 1
2024/8/3, 37, 22, 46, 14, 1, 1
2024/8/4, 48, 29, 59, 16, 1, 2
2024/8/5, 60, 24, 45, 12, , 2
2024/8/6, 56, 26, 48, 17, , 2
2024/8/7, 60, 20, 32, 10, 1, 1
2024/8/8, 44, 17, 22, 7, 1, 
2024/8/9, 28, 19, 23, 8, , 1
2024/8/10, 36, 20, 25, 9, , 1
2024/8/11, 43, 18, 17, 16, , 1
2024/8/12, 38, 19, 27, 12, , 1
2024/8/13, 41, 18, 13, 15, 1, 2
2024/8/14, 36, 18, 10, 19, 1, 2
2024/8/15, 37, 16, 14, 13, 1, 2
2024/8/16, 34, 13, 16, 14, , 1
2024/8/17, 25, 16, 23, 9, , 1
